id,Причина дубля,Ноябрь 2022,Декабрь 2022,Январь 2023,Февраль 2023,Март 2023,Апрель 2023,Май 2023,Июнь 2023,Июль 2023,Август 2023,Сентябрь 2023,Октябрь 2023,Ноябрь 2023,Декабрь 2023,Январь 2024,Февраль 2024,Account
PRJ_0075,изменение ЮЛ,"44 030,00","48 280,00","44 030,00","44 030,00","48 280,00",,,,,,,,,,,,Manager 01
PRJ_0080,,"47 234,00","53 608,50","47 234,00","46 958,50","53 884,00",,,,,,,,,,,,Manager 01
PRJ_0140,,"108 866,50","42 297,00","77 784,50","48 173,50","86 496,50",,,,,,,,,,,,Manager 01
PRJ_0012,,,,"24 615,00","25 672,50","25 672,50",,,,,,,,,,"41 409,00","40 869,00",Manager 01
PRJ_0144,изменение ЮЛ,"47 540,00","48 410,00","52 180,00","45 800,00","46 380,00",end,,,,,,,,,,,Manager 06
PRJ_0120,первая часть оплаты,"153 424,00","180 056,00","68 919,68","84 605,00","85 135,00",,,,,,,,,,,,Manager 06
PRJ_0138,первая часть оплаты,"41 060,00","41 020,00","42 920,00","41 555,00","42 920,00",,,,,,,,,,,,Manager 08
PRJ_0138,вторая часть оплаты,"4 800,00","6 220,00","5 820,00","4 110,00","6 875,00",,,,,,,,,,,,Manager 08
PRJ_0070,первая часть оплаты,,,,,,,,,,,,,,,,"227 242,00",Manager 02
PRJ_0070,вторая часть оплаты,"227 365,00","245 595,00","263 745,00","297 695,00","257 700,00",,,,,,,,,,,"41 300,00",Manager 02
PRJ_0077,,"202 150,00","206 440,00","220 310,00","221 040,00","221 040,00",,,,,,,,,,,,Manager 02
PRJ_0119,,,,"4 585,00","1 425,00","1 425,00",,,,,,,,,,,,Manager 03
PRJ_0146,основные работы,,"71 000,00",,"121 500,00","44 250,00",,,,,,,,,,,,Manager 01
PRJ_0146,доп работы,,в ноль,в ноль,в ноль,"75 000,00",,,,,,,,,,,,Manager 01
PRJ_0199,,,,,,"69 450,00",,,,,,,,,,,,Manager 06
PRJ_0200,,,,,,"60 930,00",,,,,,,,,,,,Manager 06
PRJ_0135,первая часть оплаты,"90 975,00","91 545,00","91 545,00","103 655,00","111 295,00","113 735,00",,,,,,,,,,,Manager 06
PRJ_0135,вторая часть оплаты,,,"9 475,00",,,,,,,,,,,,,,Manager 06
PRJ_0135,вторая часть оплаты,"6 215,00","10 435,00","6 330,00","10 435,00","7 905,00","18 125,00",,,,,,,,,,,Manager 06
PRJ_0127,первая часть оплаты,"122 305,00","116 850,00","121 500,00","39 187,50",стоп,,,,,,,,,,,,Manager 01
PRJ_0127,вторая часть оплаты,"52 425,13","52 948,08","54 291,08","18 572,50",стоп,,,,,,,,,,,,Manager 01
PRJ_0191,,,,,,"43 885,00",стоп,,,,,,,,,,,Manager 08
PRJ_0165,первая часть оплаты,,"780 000,00",в ноль,в ноль,в ноль,стоп,,,,,,,,,,,Manager 06
PRJ_0130,,,в ноль,"40 620,00","48 715,00","49 610,00","49 850,00",,,,,,,,,,,Manager 01
PRJ_0215,,,,,,,"205 000,00",,,,,,,,,,,Manager 08
PRJ_0221,,,,,,,"550 000,00",,,,,,,,,,,Manager 01
PRJ_0178,первая часть оплаты,,,,"62 230,00",,,"60 470,00",,,,,,,,,,Manager 07
PRJ_0178,вторая часть оплаты,,,,"5 915,00",,,"4 225,00",,,,,,,,,,Manager 07
PRJ_0037,основные работы,"66 833,00","70 819,70","68 879,70","68 879,70","68 879,70","68 879,70","69 699,35",,"69 385,00","74 075,00","76 185,00","74 075,00","76 185,00","78 950,00","81 060,00","81 060,00",Manager 07
PRJ_0208,первая часть оплаты,,,,,"85 697,50","72 542,50","63 660,00",,,,,,,,,,Manager 01
PRJ_0208,вторая часть оплаты,,,,,"36 707,50","24 267,50","32 255,00",,,,,,,,,,Manager 01
PRJ_0208,доп работы,,,,,"53 288,07","45 603,00","36 771,00",,,,,,,,,,Manager 01
PRJ_0196,,,,,,"43 610,00","39 810,00","39 810,00",,,,,,,,,,Manager 06
PRJ_0233,,,,,,,,,,,,,,,,,,Manager 01
PRJ_0084,,,"62 930,00",,,,,"65 050,00",,,,,,,,,,Manager 02
PRJ_0220,основные работы,,,,,,"83 500,00","80 000,00",,,,,,,,,,Manager 01
PRJ_0220,доп работы,,,,,,"9 150,00","18 000,00",,,,,,,,,,Manager 01
PRJ_0182,первая часть оплаты,,,"64 070,00","88 905,00","78 475,00","69 345,00","54 715,00",,,,,,,,,,Manager 02
PRJ_0182,вторая часть оплаты,,,,,,,"16 030,00",,,,,,,,,,Manager 02
PRJ_0207,первая часть оплаты,,,,,"37 865,00","23 590,00","23 590,00",,,,,,,,,,Manager 02
PRJ_0223,,,,,,,"7 700,00","87 570,00",стоп,,,,,,,,,Manager 02
PRJ_0224,,,,,,,"7 700,00","20 890,00",стоп,,,,,,,,,Manager 02
PRJ_0225,,,,,,,"7 700,00","19 045,00",стоп,,,,,,,,,Manager 02
PRJ_0226,,,,,,,"7 700,00","19 940,00",стоп,,,,,,,,,Manager 02
PRJ_0038,основные работы,"55 220,00","40 830,00","40 830,00","49 515,00","31 700,00","33 100,00","37 100,00",,,,,,,,,,Manager 06
PRJ_0038,доп работы,,,,,в ноль,"49 225,00",в ноль,,,,,,,,,,Manager 06
PRJ_0235,,,,,,,,"12 175,00",,,,,,,,,,Manager 08
PRJ_0095,основные работы,"92 505,00","107 275,00","76 450,00","74 425,00","80 800,00","81 460,00","62 405,00",,,,,,,,,,Manager 08
PRJ_0096,основные работы,,,,,"105 793,24","103 631,57","103 860,56",,,,,,,,,,Manager 04
PRJ_0096,доп работы,,,,,"107 365,80","92 859,43","93 064,62",,,,,,,,,,Manager 04
PRJ_0001,первая часть оплаты,"329 460,000","329 460,00","102 433,75","102 433,75","102 433,75","138 158,00","138 158,00","102 433,75",,,,,,,,,Manager 02
PRJ_0001,вторая часть оплаты,"109 820,00","109 820,00",,,,,,,,,,,,,,,Manager 02
PRJ_0153,,,,,,,,,,,,,,,,,,Manager 01
PRJ_0219,основные работы,,,,,,"60 072,10","61 187,60","91 257,60",,,,,,,,,Manager 01
PRJ_0011,,,,,,"43 173,00","41 364,00","44 257,50","45 868,50",,,,,,,,,Manager 02
PRJ_0053,вторая часть оплаты,"94 000,00","83 400,00","79 820,00","87 680,00","82 100,00","84 100,00","84 100,00","74 360,00",,,,,,,,,Manager 01
PRJ_0228,основные работы,,,,,,"192 000,00","180 000,00","180 000,00",,,,,,,,,Manager 06
PRJ_0228,доп работы,,,,,,"119 500,00","79 925,00","30 195,00",,,,,,,,,Manager 06
PRJ_0015,основные работы,"70 050,00",,"73 380,00","83 480,00","89 300,00","89 300,00","78 605,00","72 485,00",,,,,,,,,Manager 02
PRJ_0102,первая часть оплаты,"237 977,00","144 650,00","144 650,00","144 650,00","118 300,00","186 395,00","168 820,00","185 370,00",,,,,,,,,Manager 01
PRJ_0102,вторая часть оплаты,"43 440,00","30 450,00","122 570,00","114 283,00","106 037,00","46 410,00","44 379,00","72 430,00",,,,,,,,,Manager 01
PRJ_0190,первая часть оплаты,,,,,,,"15 400,00","15 400,00",,,,,,,,,Manager 01
PRJ_0190,вторая часть оплаты,,,,,,,"106 400,00","53 200,00",,,,,,,,,Manager 01
PRJ_0237,,,,,,,,в ноль,в ноль,,,,,,,,,Manager 07
PRJ_0236,,,,,,,,"300 030,00","321 280,00",,,,,,,,,Manager 08
PRJ_0242,,,,,,,,"63 520,00","79 180,00","94 820,00",,,,,,,,Manager 04
PRJ_0205,,,,,,"64 420,00","66 300,00","66 300,00","66 300,00",,,,,,,,,Manager 06
PRJ_0251,,,,,,,,,"50 000,00",,,,,,,,,Manager 02
PRJ_0143,основные работы,"73 735,00","52 435,00","60 135,00","56 125,00","55 760,00","52 435,00","60 135,00","56 125,00",,,,,,,,,Manager 08
PRJ_0143,доп работы,"4 220,00","4 220,00","4 220,00","4 220,00","4 220,00","4 220,00","4 220,00","2 110,00",,,,,,,,,Manager 08
PRJ_0204,основные работы,,,,,"47 500,00","41 500,00","41 500,00","41 500,00","41 500,00",стоп,,,,,,,Manager 08
PRJ_0204,доп работы,,,,,"23 450,00","23 450,00","30 025,00","30 025,00",,,,,,,,,Manager 08
PRJ_0168,первая часть оплаты,,,"270 325,00","35 325,00","35 325,00","27 950,00","24 470,00",стоп,,,,,,,,,Manager 08
PRJ_0168,вторая часть оплаты,,,"1 520,00","15 360,00","8 000,00","20 500,00",,,,,,,,,,,Manager 08
PRJ_0243,,,,,,,,"25 000,00",в ноль,,,,,,,,,Manager 06
PRJ_0068,,,,,,"37 363,50","38 632,50",,"38 632,50","38 632,50",,,,,,,,Manager 02
PRJ_0081,первая часть оплаты,,,,,,,,"95 062,50","123 417,00",,,,,,,,Manager 02
PRJ_0081,вторая часть оплаты,,,,,,,,в ноль,"23 015,45","33 307,63",,,,,,,Manager 02
PRJ_0042,первая часть оплаты,,,"60 021,00","60 021,00","60 823,75","60 823,75","60 823,75","60 823,75","60 823,75","60 206,25","60 206,25","60 206,25","60 206,25","60 206,25","60 206,25",,Manager 02
PRJ_0042,вторая часть оплаты,,,в ноль,в ноль,в ноль,в ноль,в ноль,в ноль,в ноль,,,,,,,,Manager 02
PRJ_0097,,"52 240,00",,,"39 660,00","43 240,00","44 880,00","41 005,00","32 940,00","77 330,00",,,,,,,,Manager 06
PRJ_0217,,,,,,,"50 475,00","44 495,00","44 495,00",стоп,,,,,,,,Manager 02
PRJ_0164,,,"39 120,00","73 580,00","74 930,00","72 295,00","74 810,00","72 965,00","79 210,00","52 970,00","53 920,00","52 970,00","53 920,00","54 395,00","54 395,00","54 395,00","54 395,00",Manager 06
PRJ_0027,основные работы,,,,"171 046,75",,в ноль,"54 111,00","75 000,00",в ноль,,,,,,,,Manager 01
PRJ_0027,доп работы,,,,,,,,,"180 000,00","135 000,00","238 500,00","186 750,00","186 750,00","186 750,00","186 750,00","186 750,00",Manager 01
PRJ_0214,первая часть оплаты,,,,,,"49 525,00","43 275,00","29 225,00","44 225,00",,,,,,,,Manager 06
PRJ_0214,вторая часть оплаты,,,,,,,,"15 000,00",,,,,,,,,Manager 06
PRJ_0189,основные работы,,,,"191 000,00","21 000,00","118 000,00","118 000,00","118 000,00","118 000,00",,,,,,,,Manager 01
PRJ_0189,доп работы,,,,,,,"167 500,00","121 500,00","49 000,00",,,,,,,,Manager 01
PRJ_0189,доп работы,,,,,,,,,"72 500,00",,,,,,,,Manager 01
PRJ_0257,,,,,,,,,,"126 447,63",,,,,,,,Manager 08
PRJ_0264,первая часть оплаты,,,,,,,,,"11 995,00",,,,,,,,Manager 08
PRJ_0264,вторая часть оплаты,,,,,,,,,"1 199,50",,,,,,,,Manager 08
PRJ_0263,,,,,,,,,,"35 000,00",,,,,,,,Manager 01
PRJ_0265,,,,,,,,,,,,,,,,,,Manager 10
PRJ_0259,первая часть оплаты,,,,,,,,,"110 000,00",,,,,,,,Manager 07
PRJ_0093,,,,,,"42 937,10","50 640,35","57 901,14",в ноль,"64 219,76",в ноль,,,,,,,Manager 08
PRJ_0159,первая часть оплаты,,"602 370,00",,,,"52 565,00","54 355,00","53 510,00","64 355,00","58 355,00",,,,,,,Manager 01
